player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Jacquies Smith,Buccaneers,EDGE,2017,1,1.797,0.0,1.797,1.1
Denico Autry,Raiders,EDGE,2017,1,1.797,0.0,1.797,1.1
Brennan Scarlett,Texans,EDGE,2019,1,2.025,0.0,2.025,1.1
Quinton Jefferson,Seahawks,EDGE,2019,1,2.025,0.0,2.025,1.1
Azeez Ojulari,Eagles,EDGE,2025,1,3.0,3.0,3.0,1.1
K'Lavon Chaisson,Patriots,EDGE,2025,1,3.0,2.4,3.0,1.1
L.J. Collier,Cardinals,EDGE,2025,1,3.0,1.5,3.0,1.1
Matt Judon,Dolphins,EDGE,2025,1,3.0,0.0,3.0,1.1
Emmanuel Ogbah,CLE/KC,EDGE,2016,4,6.60964,3.457012,1.65241,1.1
Adrian Clayborn,Falcons,EDGE,2019,1,2.0,0.75,2.0,1.1
Arnold Ebiketie,Falcons,EDGE,2022,4,8.818692,6.911142,2.204673,1.1
Jabaal Sheard,Browns,EDGE,2011,4,5.09025,0.0,1.272563,1.1
Jeremy Mincey,Broncos,EDGE,2013,1,1.3,0.0,1.3,1.1
Andre Branch,Jaguars,EDGE,2012,4,5.089934,3.153129,1.272484,1.1
Kevin Dodd,Titans,EDGE,2016,4,6.552304,4.771144,1.638076,1.1
James Harrison,Steelers,EDGE,2017,2,3.5,0.5,1.75,1.0
Solomon Thomas,Jets,EDGE,2023,1,2.35,2.01,2.35,1.0
Jarvis Moss,Raiders,EDGE,2011,1,1.25,0.25,1.25,1.0
Demarcus Lawrence,Cowboys,EDGE,2014,4,5.506648,3.895138,1.376662,1.0
Yetur Gross-Matos,Panthers,EDGE,2020,4,8.198828,5.215458,2.049707,1.0
Junior Galette,Commanders,EDGE,2016,1,1.6,0.0,1.6,1.0
Boye Mafe,Seahawks,EDGE,2022,4,8.56226,6.31929,2.140565,1.0
Cameron Thomas,Falcons,EDGE,2026,1,3.095,2.5,3.095,1.0
Trey Flowers,Dolphins,EDGE,2022,1,2.125,1.0,2.125,1.0
Pernell McPhee,Commanders,EDGE,2018,1,1.8,0.35,1.8,1.0
Derick Hall,Seahawks,EDGE,2023,4,9.115604,7.222566,2.278901,1.0
R Mason Thomas,Chiefs,EDGE,2026,4,12.196804,12.196804,3.049201,1.0
Aldon Smith,Cowboys,EDGE,2020,1,2.0,0.0,2.0,1.0
Preston Smith,Commanders,EDGE,2015,4,5.779368,3.595875,1.444842,1.0
Tank Carradine,49ers,EDGE,2013,4,4.94768,2.963207,1.23692,1.0
Ra'Shede Hageman,Falcons,EDGE,2014,4,5.33584,3.28315,1.33396,1.0
Dekoda Watson,DEN/SF,EDGE,2017,3,5.0,1.0,1.666667,1.0
Cashius Howell,Bengals,EDGE,2026,4,12.008,12.008,3.002,1.0
Da'Shawn Hand,Falcons,EDGE,2026,1,3.0,1.5,3.0,1.0
Dominique Robinson,Texans,EDGE,2026,1,3.0,1.5,3.0,1.0
D.J. Wonnum,Lions,EDGE,2026,1,3.0,2.27,3.0,1.0
Jason Jones,Dolphins,EDGE,2016,1,1.535,1.01,1.535,1.0
Connor Barwin,Giants,EDGE,2018,2,3.5,1.68,1.75,1.0
Cassius Marsh,Seahawks,EDGE,2019,1,1.85,0.6,1.85,1.0
Dawuane Smoot,Bills,EDGE,2024,1,2.5,1.75,2.5,1.0
K'Lavon Chaisson,Panthers,EDGE,2024,1,2.5,0.5,2.5,1.0
Brooks Reed,Texans,EDGE,2011,4,4.701764,2.709468,1.175441,1.0
Noah Spence,Buccaneers,EDGE,2016,4,6.036312,3.764422,1.509078,1.0
Isaiah Foskey,Saints,EDGE,2023,4,8.734722,6.731557,2.183681,1.0
Chris Clemons,Seahawks,EDGE,2016,1,1.5,0.15,1.5,1.0
Mario Addison,Panthers,EDGE,2014,2,2.56,0.66,1.28,1.0
Henry Anderson,Patriots,EDGE,2022,1,2.0,0.75,2.0,1.0
James Harrison,Steelers,EDGE,2015,2,2.75,0.5,1.375,1.0
Charles Harris,Lions,EDGE,2021,1,1.75,1.75,1.75,1.0
Matt Longacre,Rams,EDGE,2018,1,1.698438,1.698438,1.698438,1.0
Jayrone Elliott,Packers,EDGE,2017,1,1.6,0.35,1.6,1.0
B.J. Ojulari,Cardinals,EDGE,2023,4,8.597614,6.532849,2.149404,1.0
Harold Landry,Titans,EDGE,2018,4,6.73369,4.243305,1.683423,1.0
David Ojabo,Ravens,EDGE,2022,4,7.909124,5.401594,1.977281,0.9
Derrick Moore,Lions,EDGE,2026,4,11.426946,11.426946,2.856737,0.9
Tyquan Lewis,Colts,EDGE,2023,1,2.1,0.5,2.1,0.9
Brandon Copeland,Jets,EDGE,2019,1,1.75,0.5,1.75,0.9
Josh Paschal,Lions,EDGE,2022,4,7.735658,4.842553,1.933915,0.9
Azeez Ojulari,Giants,EDGE,2021,4,6.774914,3.915159,1.693729,0.9
Zion Young,Ravens,EDGE,2026,4,11.174966,11.174966,2.793742,0.9
