player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Hayden Hurst,3924365,CIN,TE,2022,receiving,2026-07-03T11:41:35.354918,13.0,52.0,68.0,4.0,31.8,0.0,0.0,192.0,26.0,414.0,2.0,8.0,29.0
Rondale Moore,4372485,ARI,WR,2022,receiving,2026-07-03T11:41:35.354918,8.0,41.0,56.0,6.0,51.8,0.0,0.0,281.0,16.0,414.0,1.0,10.1,38.0
Greg Dulcich,4367209,DEN,TE,2022,receiving,2026-07-03T11:41:35.354918,10.0,33.0,55.0,6.0,41.1,0.0,0.0,155.0,18.0,411.0,2.0,12.5,39.0
Devin Duvernay,4039050,BAL,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,37.0,49.0,6.0,29.1,0.0,0.0,156.0,19.0,407.0,3.0,11.0,31.0
Zach Ertz,15835,ARI,TE,2022,receiving,2026-07-03T11:41:35.354918,10.0,47.0,69.0,2.0,40.6,0.0,0.0,130.0,24.0,406.0,4.0,8.6,32.0
Josh Jacobs,4047365,LV,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,53.0,64.0,2.0,23.5,1.0,1.0,374.0,16.0,400.0,0.0,7.5,43.0
Derrick Henry,3043078,TEN,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,33.0,41.0,6.0,24.9,2.0,1.0,386.0,11.0,398.0,0.0,12.1,69.0
Nick Westbrook-Ikhine,3929785,TEN,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,25.0,50.0,5.0,23.4,0.0,0.0,112.0,18.0,397.0,3.0,15.9,63.0
Aaron Jones Sr.,3042519,GB,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,59.0,72.0,5.0,23.2,2.0,2.0,447.0,19.0,395.0,5.0,6.7,30.0
Isaiah Hodgins,4242540,BUF/NYG,WR,2022,receiving,2026-07-03T11:41:35.354918,10.0,37.0,48.0,4.0,39.2,1.0,1.0,88.0,24.0,392.0,4.0,10.6,29.0
Cade Otton,4243331,TB,TE,2022,receiving,2026-07-03T11:41:35.354918,16.0,42.0,65.0,4.0,24.4,0.0,0.0,174.0,19.0,391.0,2.0,9.3,35.0
D'Andre Swift,4259545,DET,RB,2022,receiving,2026-07-03T11:41:35.354918,14.0,48.0,70.0,5.0,27.8,1.0,0.0,454.0,17.0,389.0,3.0,8.1,25.0
Darren Waller,2576925,LV,TE,2022,receiving,2026-07-03T11:41:35.354918,9.0,28.0,43.0,9.0,43.1,0.0,0.0,80.0,18.0,388.0,3.0,13.9,34.0
Marquise Goodwin,15839,SEA,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,27.0,42.0,9.0,29.8,0.0,0.0,114.0,18.0,387.0,4.0,14.3,38.0
Ben Skowronek,4035656,LAR,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,39.0,61.0,5.0,26.9,0.0,0.0,137.0,16.0,376.0,0.0,9.6,32.0
Isaiah Likely,4361050,BAL,TE,2022,receiving,2026-07-03T11:41:35.354918,16.0,36.0,60.0,4.0,23.3,0.0,0.0,151.0,18.0,373.0,3.0,10.4,34.0
Tony Pollard,3916148,DAL,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,39.0,55.0,3.0,23.2,0.0,0.0,347.0,18.0,371.0,3.0,9.5,68.0
Van Jefferson,3930066,LAR,WR,2022,receiving,2026-07-03T11:41:35.354918,11.0,24.0,44.0,7.0,33.5,0.0,0.0,38.0,20.0,369.0,3.0,15.4,39.0
Nelson Agholor,2971618,NE,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,31.0,53.0,6.0,22.6,2.0,2.0,144.0,12.0,362.0,2.0,11.7,44.0
Mike Gesicki,3116164,MIA,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,32.0,52.0,5.0,21.3,0.0,0.0,97.0,19.0,362.0,5.0,11.3,32.0
Kyle Pitts Sr.,4360248,ATL,TE,2022,receiving,2026-07-03T11:41:35.354918,10.0,28.0,59.0,5.0,35.6,0.0,0.0,126.0,20.0,356.0,2.0,12.7,33.0
Quez Watkins,4050373,PHI,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,33.0,51.0,5.0,20.8,1.0,1.0,146.0,13.0,354.0,3.0,10.7,53.0
Antonio Gibson,4360294,WSH,RB,2022,receiving,2026-07-03T11:41:35.354918,15.0,46.0,58.0,2.0,23.5,0.0,0.0,297.0,18.0,353.0,2.0,7.7,26.0
Will Dissly,3127292,SEA,TE,2022,receiving,2026-07-03T11:41:35.354918,15.0,34.0,38.0,1.0,23.3,0.0,0.0,184.0,20.0,349.0,3.0,10.3,38.0
Allen Robinson,16799,LAR,WR,2022,receiving,2026-07-03T11:41:35.354918,10.0,33.0,52.0,3.0,33.9,0.0,0.0,71.0,23.0,339.0,3.0,10.3,29.0
